horizon,baseline_simple,network,combined_simple,delta_comb_vs_base
1,0.6271428571428571,0.31642857142857145,0.6971428571428572,0.07000000000000006
2,0.7180500658761528,0.6745718050065875,0.8181818181818182,0.1001317523056654
3,0.8142292490118578,0.8129117259552042,0.8432147562582345,0.02898550724637672
