horizon,n_valid,mean_delta,p05,p50,p95,pct_delta_gt_zero
1,2000,0.1413456387353814,0.05983753469010179,0.13832186850103984,0.23670518311475766,0.998
2,2000,0.2001278976070276,0.06093030233655227,0.19949509392714598,0.34090909090909083,0.9885
3,2000,0.09792551693860327,0.00496327800106864,0.10069444444444442,0.185582138054684,0.9555
