horizon_q,baseline_engineered,network,combined_engineered,delta_comb_vs_base
1,0.7401069518716579,0.48128342245989303,0.7358288770053475,-0.004278074866310377
2,0.7518716577540107,0.7315508021390374,0.7497326203208556,-0.002139037433155022
3,0.7711229946524064,0.8192513368983957,0.7700534759358288,-0.0010695187165775666
